,Title,Abstract,DOI,Link,Source,Valido,Comentario,métrica,algoritmos,deporte,liga,sexo,balanceo,preprocesado,volumen DS,features,disponibilidad de datos,link a datos,objetivo,atributo a predecir,Resultado,origen datos,año datos,autores,mejoras en comparación,críticas
Miguel,Pre- and post-competitive anxiety and match outcome in elite international junior tennis players,"This study aimed to analyse the impact of match outcome (win or lose) in an elite international tennis competition on pre-competitive anxiety and self-confidence. A cohort of Under-16 elite boys (n = 18), with a mean age of 15.44 (0.616) years and an international competitive experience of 4.44 (1.89) years, which were representing six national teams participated in this cross-sectional study. The assessments took part in a qualifying stage of the International Tennis Federation (ITF) Junior Davis Cup competition. During the tournament, participants played the best of three set matches. The Competitive State Anxiety Inventory – 2R (CSAI-2R) and the State-Trait Anxiety Inventory (STAI-E) were employed to assess the pre-competitive anxiety before and after the tournament's match. Cognitive and somatic anxiety were slightly higher before than after the matches. No significant differences were found between the pre-and post-match measures. However, significant differences in cognitive anxiety, state anxiety and self-confidence were found when comparing pre-match and post-match values between winners and losers. In this regard, winners showed a significant reduction in state anxiety and cognitive anxiety after the match. According to our results, intervention programmes should incorporate tools that will assist players in their management of anxiety and self-confidence, specifically with those players who lost the match. © The Author(s) 2022.",10.1177/17479541221122396,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136823887&doi=10.1177%2f17479541221122396&partnerID=40&md5=c68ad2dcc3bd662ba98676940d9aed48,SCOPUS,No,No se pueden realizar apuestas en jugadores menores. El tema tratado puede ser interesante de aplicar en jugadores senior pero el comportamiento entre jugadores jóvenes y senior no es comparable.,,,,,,,,,,,,,,,,,,,
Miguel,A peculiar phenomenon and its potential explanation in the ATP tennis tour finals for singles,"The ATP finals is the concluding tournament of the tennis season since its initiation over 50 years ago. It features the 8 best players of that year and is often considered to be the most prestigious event in the sport other than the 4 grand slams. Unlike any other professional tennis tournament, it includes a round-robin stage where all players in a group compete against each other, making it a unique testbed for examining performance under forgiving conditions, where losing does not immediately result in elimination. Analysis of the distribution of final group standings in the ATP Finals for singles from 1972 to 2021 reveals a surprising pattern, where one of the possible and seemingly likely outcomes almost never materializes. The present study uses a model-free, optimization approach to account for this distinctive phenomenon by calculating what match winning probabilities between players in a group can lead to the observed distribution. Results show that the only way to explain the empirical findings is through a ""paradoxical""balance of power where the best player in a group shows a vulnerability against the weakest player. We discuss the possible mechanisms underlying this result and their implications for match prediction, bettors, and tournament organization. © 2023 Walter de Gruyter GmbH, Berlin/Boston.",10.1515/jqas-2022-0043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146522965&doi=10.1515%2fjqas-2022-0043&partnerID=40&md5=a80989ab5a4a1d5f7dcddc33faf26144,SCOPUS,No,"Simula un escenario de enfrentamiento de jugadores entre jugadores, con el objetivo de evaluar el rendimiento en cada uno de los partidos y como pueden influir al resto. La simulación es un suceso imposible ya que actualmente no existen torneos así, por tanto, no se pueden aplicar a la realidad y no se puede llevar a las apuestas.",,,,,,,,,,,,,,,,,,,
Miguel,Analysis of Technical–Tactical Actions in High-Level Table Tennis Players: Differences between Sexes,"Table tennis is a sport played at a high speed; therefore, the technical–tactical variables are very important. The objective of the research is to analyze the technical and tactical characteristics of high-level TT players according to sex. A total of 48 high-level players (24 women and 24 men) participated in the present study. The investigation was carried out during two championships. The matches were recorded and subsequently analyzed by notational analysis. The results indicate that women stroke the ball more times during the rallies. In the men’s competition, the forehand technique predominates over the backhand technique. The flip was the most used in the male sex (p < 0.05). At the tactical level, more winning actions were performed in the men’s competition than in the women’s, both with the forehand and backhand game. Men performed more losing technical actions when using the forehand and backhand flips. The pivot footwork tactical action was higher in the men’s competition. The analysis of the technical–tactical actions highlighted important differences between the sexes. The predominant losing techniques among players are forehand and backhand flip. Female players use more defensive strokes, while male players use more offensive strokes, in particular the flip technique. The potential biomechanical progress of the male player characterized by a larger wingspan biotype could facilitate a better technical–tactical performance. The results obtained are of interest to improve the performance of the players as they must train at a technical–tactical level differently depending on the sex and style of play. © 2023 by the authors.",10.3390/sports11110225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178274544&doi=10.3390%2fsports11110225&partnerID=40&md5=10a174edfcb382ed27d722ec064a7466,SCOPUS,No,Estudio de características a fortalecer o a considerar por los difertentes deportistas. Estudio enfocado a mejorar entrenamiento no ha predecir un ganador. No se puede utilizar con las apuestas.,,,,,,,,,,,,,,,,,,,
Miguel,Re-establishing Fetch-Directed Instruction Prefetching: An Industry Perspective,"Instruction prefetching can play a pivotal role in improving the performance of workloads with large instruction footprints and frequent, costly frontend stalls. In particular, Fetch Directed Prefetching (FDP) is an effective technique to mitigate frontend stalls since it leverages existing branch prediction resources in a processor and incurs very little hardware overhead. Modern processors have been trending towards provisioning more frontend resources, which bodes well for FDP as it requires these resources to be effective. However, recent academic research has been using outdated and less than optimal frontend baselines that employ smaller structures, resulting in equivocal outcomes. This paper presents a detailed FDP microarchitecture and evaluates two improvements, better branch history management and post-fetch correction. Our mechanism provides a 41.0% speedup over the baseline (no prefetching, no FDP) with only 195 bytes of hardware overhead and outperforms the 1st Instruction Prefetching Championship (IPC-1) winners that had a 128KB storage budget. We believe that our FDP-based frontend design can serve as a new reference baseline for instruction prefetching research to bridge the gap between academia and industry.  © 2021 IEEE.",10.1109/ISPASS51385.2021.00034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105415390&doi=10.1109%2fISPASS51385.2021.00034&partnerID=40&md5=ef254f37341467618e45fb5f06799f87,SCOPUS,No,Fuera del tema completamente,,,,,,,,,,,,,,,,,,,
Miguel,Sports analytics in the NFL: classifying the winner of the superbowl,"Sport teams’ managers, coaches and players are always looking for new ways to win and stay competitive. The sports analytics field can help teams in gaining a competitive advantage by analyzing historical data and formulating strategies and making data driven decisions regarding game plans, play selection and player recruitment. This work focuses on the application of sports analytics in the National Football League. We compare the classification performance of several methods (C4.5, Neural Network and Random Forest) in classifying the winner of the Superbowl using data collected during the regular season. We split the data into a training set and test set and use the synthetic minority oversampling technique to address the data imbalance issue in the training set. The classification performance is compared on the test set using several measures. According to the findings, the Random Forest classifier had the highest recall, AUC, accuracy and specificity as the oversampling percentage was increased. Our results can be used to develop a decision support tool to assist team managers and coaches in developing strategies that would increase the team’s chances of winning. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",10.1007/s10479-022-05063-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142220658&doi=10.1007%2fs10479-022-05063-x&partnerID=40&md5=efdd145078b1dc0068bf9000175e180a,SCOPUS,No,"Enfocado a mejorar estrategías y comportamientos de equipo, no puede ser utilizado como entrada a un modelo de determinar el ganador.",,,,,,,,,,,,,,,,,,,
Miguel,Does certainty on the winner diminish the interest in sport competitions? The case of formula one,"The literature acknowledges “Uncertainty of Outcome” (UO) as a major factor to explain the degree of interest that sporting competitions draw from fans and the general public. Uncertainty about the championship winner is crucial insofar as financial success depends on the capacity to attract potential consumers of spectacle. This paper focusses on one aspect of UO and examines to what extent reduction in the interest of followers is due to the removal of uncertainty about the world drivers’ champion in Formula One. To study how certainty on the winner undermines the degree of attention generated by the Formula One world drivers’ championship, we rely on two alternative indexes—similar although not identical—reported by Google Trends. Both of these appraisals are computed from data on users’ search intensity in Google, where weekly records are normalised on the relative amount of searches per calendar year. Thus, as dependent variables for the empirical analysis we use two measures: Google Trends News (GTN), to capture the intensity with which individuals search news articles associated; and Google Trends Web (GTW), to get a wider overview based on all kind of Internet contents. The former empirical analysis is carried out on 10 years of available data, while the latter approach estimates the models for a larger period of 14 years. Our empirical strategy includes additionally adopting indicator saturation techniques to address this issue while controlling for outliers. © 2021, The Author(s).",10.1007/s00181-021-02147-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116999638&doi=10.1007%2fs00181-021-02147-8&partnerID=40&md5=4853834b271f7654841d88aa7ea3a819,SCOPUS,No,Centrado en temas sociológicos y comportamiento humano,,,,,,,,,,,,,,,,,,,
Miguel,Learning the Sentiment of Soccer Fans from Data on Bets and Social Nets,"In this paper we propose a Hidden Markov Model in order to predict the sentiment of soccer fans based on information regarding the result of matches. The model was constructed by data collected from a social network where fans of a soccer team periodically expressed feelings towards their team. We show that the choice of a HMM is justified due to the fact that the change in a fan's sentiment is analogous to a Markovian process of change of state through time. A comparative evaluation will be performed between variations of the proposed models and also between the most accurate of them and classification algorithms. Second order HMM, considering the match results and fan's gambling information, is the most accurate model.",10.1109/WI-IAT.2015.127,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396804,IEEE,No,"Predicción de sentimientos en realación a las apuestas, no es determinante a la hora de predecir un partido ya que se centra en el apostador y no en los equipo en los que se apuesta.",,,,,,,,,,,,,,,,,,,
Miguel,Examining the frequency and nature of gambling marketing in televised broadcasts of professional sporting events in the United Kingdom,"Objective: Gambling operators in the United Kingdom have introduced a voluntary ban on adverts broadcast during televised sport before 21:00 (the ‘whistle-to-whistle’ ban). To inform debates around the potential effectiveness of this ban, we examine the frequency and nature of gambling marketing in televised broadcasts across professional sporting events. Study design: Frequency analysis of verbal and visual gambling marketing references during television broadcasts of football (n = 5), tennis, Formula 1, boxing and rugby union (each n = 1) from 2018. Methods: For each gambling reference, we coded: whether it appeared in-play or out-of-play; location (e.g. pitch-side advertising); format (e.g. branded merchandise); duration (s); number of identical references visible simultaneously; brand; and presence of age restriction or harm-reduction messages. Results: Boxing contained the most gambling references, on average, per broadcast minute (4.70 references), followed by football (2.75), rugby union (0.55) and tennis (0.11). Formula 1 contained no gambling references. In boxing, references most frequently appeared within the area-of-play. For football and rugby union, references most frequently appeared around the pitch border or within the area-of-play (e.g. branded shirts). Only a small minority of references were for adverts during commercial breaks that would be subject to the whistle-to-whistle ban (e.g. 2% of references in football). Less than 1% of references in boxing and only 3% of references in football contained age restriction or harm-reduction messages. Conclusions: As gambling sponsorship extends much beyond adverts in commercial breaks, the ‘whistle-to-whistle’ ban will have limited effect on gambling exposure. Gambling sponsorship activities rarely contain harm-reduction messages. © 2020",10.1016/j.puhe.2020.02.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082648420&doi=10.1016%2fj.puhe.2020.02.012&partnerID=40&md5=cac02403ddabea9db0b013cd5be27686,SCOPUS,No,Anuncios en las televisiones sobre las apuestas.,,,,,,,,,,,,,,,,,,,
Miguel,Data Mining Computing of Predicting NBA 2019–2020 Regular Season MVP Winner,"This project is to build statistical models to decide which players should win the NBA 2019-2020 regular season Most Valuable Player (MVP) Award. Top 50 potential candidates were selected to enter the 2019-2020 MVP race. Prior building the MVP models, the player statistics data has been Z-standardized to remove any mean and standard deviation bias. The “Uniform MVP Index” has been derived from combining each player's Z statistics with equal weight. Team has further derived a “Weighted and Subset” model by adding the weight factor and the best subset feature selection. Authors have added the “Team Winning” factor in the Power Model from power= 0 (equivalent to the Weighted Model), 0.5,1,1.5 to power= infinity (MVP from the best Team). The Power MVP Index will be multiplied by the power of the team winning% in the Power model. 9 different MVP index were established based on top 50 selected players' statistics and team records. Modeling overfit risk was addressed by multivariate correlation, and recursively partition. Neural algorithms were utilized to build the MVP prediction model based on MVP Index methods.",10.1109/ICACCE49060.2020.9155038,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155038,IEEE,No,"El objetivo de este trabajo es predecir resultados en partidos, es posible apostar al MVP de una temporada pero no es el área donde vamos a centrar nuestro trabajo.",,,,,,,,,,,,,,,,,,,
Miguel,The football championship is won when playing away: difference in match statistics between the winner and the second-place team in LaLiga,"The aim of this study was to identify match statistics that best explained the differences between the first- and the second-placed teams in the Spanish National football championship (LaLiga). For this aim, the number of wins, draws, losses, distribution of scored/received goals, and accumulated attack, and defensive match statistics were obtained of the 1st and 2nd place teams for eight seasons (from 2010–2011 to 2017–2018). In comparison to the championship winner, the second-place team obtained a similar number of victories at home but a lower number of away wins (effect size [ES] = moderate). The goal-based variables with the highest effect size between the first- and second-place teams were a higher number of goals scored while playing away and a lower number of goals received while playing away (ES = moderate). A higher shooting accuracy along with less conceded shots and conceded corners (ES = moderate), were the match statistics with the highest effect size between the investigated teams. A higher number of wins when playing away was the best indicator of performance to differentiate between the championship winner and the second-place team. Increased shooting accuracy and conceding less shots from corners might also aid in obtaining victory in LaLiga. © 2020 Cardiff Metropolitan University.",10.1080/24748668.2020.1801201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089173014&doi=10.1080%2f24748668.2020.1801201&partnerID=40&md5=059f00d7d615d5e39cddcafaf0097b41,SCOPUS,No,Se realiza un análisis sobre estadísticas y datos de los que disponemos con el fin de obtener conclusiones sobre la importancia de jugar fuera de casa. Es válido a la hora de querer estudiar una temporada pero no en el ámbito de predecir un resultado.,,,,,,,,,,,,,,,,,,,
Miguel,Analysis of throwing performance in elite women's beach handball,"The objective of this study was to ascertain the differences in throwing performance between winning and losing elite female beach handball teams. An observational methodology was used, and an ad hoc instrument was created for data collection. The sample consisted of 2,160 throws in 38 matches of the Women's Senior Beach Handball World Championships in Kazan in 2018. The results showed significant differences in the number of goals, goalkeeper saves and blocking between winners and losers (p<0.01). Spectacular throws were more numerous than simple throws. The spin shot was the resource most utilised by both winners and losers, although there were significant performance differences in favour of the winners (p<0.01). The winning teams executed a greater number of in-flight shots (p<0.01), more effectively and scoring a greater number of points (p<0.01) with this type of shot. © Copyright Generalitat de Catalunya (INEFC). This article is available from url https://www.revista-apunts.com/en/. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. The images or other third party material in this article are included in the article's Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-nd/4.0/",10.5672/APUNTS.2014-0983.ES.(2020/3).141.06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093509736&doi=10.5672%2fAPUNTS.2014-0983.ES.%282020%2f3%29.141.06&partnerID=40&md5=3411ba17d571bb1622339be366d3c813,SCOPUS,No,"Estudio sobre comportamientos pasados en partidos de balonmano, útil a la hora de obtener conclusiones pero no relevante a la hora de predecir resultados de partidos.",,,,,,,,,,,,,,,,,,,
Miguel,Match-fixing under the state monopoly sports betting system: a case study of the 2011 K-League scandal,"This paper examines the characteristics of match-fixing under the state monopoly sports betting system, particularly focusing on the case of the 2011 K-League scandal. Drawing from policy documentation and interview data, this study explores the precipitating factors that underpin large-scale match-fixing in South Korea. The results of the analysis reveal that first, the financial stability of the legal, monopoly betting operator attracts match-fixers for manipulation due to its guaranteed payouts. Second, the legal betting system that only offers traditional products (e.g., final match results) required fixers to mobilize a larger number of players, increasing the size of the scandal. Third, within the small community of footballers, the networks based on school ties, and the training camp culture made it easier for fixers with soccer-playing backgrounds to mobilize many active players. Finally, the follow-up measures after the scandal only targeted illegal betting operators or individual player immorality, which allowed the government to continue to play a dual role as both the operator of the sports gambling business and the protector of sport integrity. © 2020, Springer Nature B.V.",10.1007/s10611-020-09888-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079519251&doi=10.1007%2fs10611-020-09888-0&partnerID=40&md5=98510f7de2e32532e20b625f1a045357,SCOPUS,No,Análisis sobre un escándalo de amaño en las apuestas deportivas,,,,,,,,,,,,,,,,,,,
Miguel,Advancing Research at the RoboCup@Home Competition [Competitions],"RoboCup (https://www.robocup.org/) is an annual international robotics competition, founded in 1996, that aims to promote robotics and artificial-intelligence research. The initial challenge was for a team of robots to play soccer: it was the first competition that used soccer games to promote research and education. The goal of RoboCup is as follows: ""By the middle of the 21st century, a team of fully autonomous, humanoid, robot soccer players shall win a soccer game, complying with the official rules of the Federation Internationale de Football Association, against the winner of the most recent World Cup.""",10.1109/MRA.2019.2908571,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8736075,IEEE,No,Estudio sobre este nuevo deporte.,,,,,,,,,,,,,,,,,,,
Miguel,Analysis of changes in heart rate variability before and after a table tennis match depending on the outcome,"The aim of this study was to compare heart rate variability (HRV) indices before and after a table tennis match, depending in match result. HRV indices were measured before (PRE) and after (POST) match periods to 21 table tennis players (21.86 ± 8.34 yr) in 30 matches. No significant differences were found neither in PRE nor in POST measures comparing winners and losers. A significantly lower value (p < 0.05) was found in mean of RR intervals (mean RR), standard deviation of RR intervals (SDNN), the natural logarithm transform of the root mean square of successive differences between normal heartbeats (LnRMSSD), relative number of successive RR interval pairs that differ more than 50 ms (pNN50), cross (SD1) and longitudinal (SD2) axis of Poincaré plot comparing POST values with PRE values. Nevertheless, low frequency index expressed in absolute power (LF Power) and high frequency indices expressed in absolute power (HF power) and normalised power (HF Power) showed different trends depending on the results (p < 0.05). The obtained results show a HRV decrease after table tennis match regardless the match result, in both time domain and non-linear indices. However, frequency domain indices show a different trend depending on the match outcome. © 2022 Archivos de Medicina del Deporte. All rights reserved.",10.18176/archmeddeporte.00077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141992206&doi=10.18176%2farchmeddeporte.00077&partnerID=40&md5=a82135b2587171eee86e3cfcd60736c7,SCOPUS,No,"Puede ser una variable a considerar a la hora de realizar una apuesta pero es imposible acceder a ese dato antes del partido y, por tanto, imposible usarlo para realizar una apuesta.",,,,,,,,,,,,,,,,,,,
Miguel,Win or lose. Physical and physiological responses in paddle tennis competition according to the game result,"Sports success can be determined by technical level, physical condition, but also with behaviour and decision-making in competition. The main aim of this study was to compare the different physiological and physical responses of professional male paddle-tennis players as a function of the game result. Sixty sets and twenty-four players were analysed in the Spanish National Championships. Heart rate (HR), lactate concentrations, rating of perceived exertion (RPE), covered distance and speed and sprints were measured. Comparative tests were performed to compare winners and losers, and RPE was analysed using the Receiver Operating Characteristic (ROC) curve test through Logit model. Losers showed greater results in the mean HR (154.1±15.6 beats·min−1) than winners (144.2±19.1 beats·min−1, p<0.01). A score of 6–10 or 16–20 points in RPE, entailed a high or low probability of winning the set (72–92% or 6–23%, respectively). Physical responses were higher in losers, e.g. higher distances, mean velocity, sprints number between 2.1–9.0 km·h−1. As conclusions, players who finally lose the match demand greater physical and physiological responses in general. It is established, as in other racket sports, that the player’s position on the court is key to determining victory in this sport. © 2022 Cardiff Metropolitan University.",10.1080/24748668.2022.2082173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131156830&doi=10.1080%2f24748668.2022.2082173&partnerID=40&md5=d776f52ae143fc0faa2c69f19b8dceaa,SCOPUS,No,"Útil a la hora de obtener conclusiones pero no es una característica relvante a la hora de predecir un resultado de un partido. Además, es imposible acceder a esos datos para utilizarlos de entrada en el modelo predictivo",,,,,,,,,,,,,,,,,,,
Miguel,Clustering tennis players’ anthropometric and individual features helps to reveal performance fingerprints,"The study was aimed to explore distinct players’ groups according to their anthropometric and individual features, and to identify the key performance indicators that discriminate player groups. Match statistics, anthropometric and personal features of 1188 male players competing during 2015–2017 main draw Grand Slam singles events were collected. Height, weight, experience, handedness and backhand style were used to automatically classify players into different clusters through unsupervised learning model. Afterwards, 29 match variables were analysed through MANOVA and discriminant analysis in order to evaluate the different match performance among player groups and to identify the key performance indicators that best differentiate player clusters in each Grand Slam. The analysis revealed the existence of four clusters, they were classified as Big-sized Right Two-handed Players (n = 387), Medium-sized Right One-handed Players (n = 265), Small-sized Right Two-handed Players (n = 414), and Left Two-handed Players (n = 122). Serve, winner, net and physical performance-related indicators (Structure Coefficient ≥ |0.30|) were showed to be the maximum contributors to the group separation. Left-handed players were the most homogenous group in performance. Taller players outperformed their peers in all Slams except for Roland Garros, where left-handed players demonstrated certain advantage playing on slow-pace surface. In Wimbledon and US Open, Medium-sized Right One-handed Players showed better net and physical performance. The advantage of left-handed player is over-represented at elite level. Current findings promote a better understanding of match-play from distinct player groups and offer information on evaluating contextual variability for achieving better performances. © 2019, © 2019 European College of Sport Science.",10.1080/17461391.2019.1577494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068717795&doi=10.1080%2f17461391.2019.1577494&partnerID=40&md5=35a9b5b778d29c3b2d75a313ddf23b5d,SCOPUS,No,Útil a la hora de obtener estadísticas interesantes pero no es determinante a la hora de realizar una predicción en el resultado,,,,,,,,,,,,,,,,,,,
Miguel,The Grayness of Match-Fixing: A Study of the Prevalence and Sanctionability of Non-Betting-Related Match-Fixing in Football and Tennis,"In this study, we provide a nuanced perspective on a sub-type of match-fixing, called non-betting-related match-fixing (NBMF). Using a cross-sectional survey, we measured the prevalence and motives behind NBMF in Belgian amateur football and tennis. Additionally, we conducted a thorough study of the regulatory documents of the relevant (sports) organizations to examine the sanctionability of different types of NBMF by analyzing their disciplinary regulations surrounding NBMF and, if applicable, their sanctioning guidelines. Furthermore, various instances of NBMF were applied to the definition of competition manipulation of the Council of Europe’s Macolin Convention. We conclude that NBMF is not always linked to sporting outcomes and that the gray zone that surrounds it differs between both sports depending on the specificity of their regulations, and the subjectivity with which they are implemented in practice. © 2024 Taylor & Francis Group, LLC.",10.1080/01639625.2024.2364279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195485868&doi=10.1080%2f01639625.2024.2364279&partnerID=40&md5=cbc0268ceb81fa176533351256e6b4ed,SCOPUS,No,"Este estudio analiza el amaño de partidos no relacionado con apuestas (NBMF) en el fútbol y tenis amateur en Bélgica, evaluando su prevalencia, motivaciones y regulación, concluyendo que su impacto varía según el deporte y la aplicación de las normativas.",,,,,,,,,,,,,,,,,,,
Miguel,The paradox of talent: How chance affects success in tennis tournaments,"Individual sports competitions provide a natural setting for examining the relative importance of talent and luck/chance in achieving success. The belief that success is primarily due to individual abilities and hard work rather than external factors is particularly strong in this context. Thus, individual talent is regarded as the most important – if not the only – component in ensuring a successful career for athletes. In this study, we test this belief using tennis as a case study, due to its popularity and competition structure in direct-elimination tournaments. Our dataset covers the last decade before Covid-19 pandemics (2010–2019) of main international events in the ATP circuit and consists of tourney results and annual rankings for professional male players. After a preliminary data analysis, we introduce an agent-based model able to accurately simulate the tennis players’ dynamics along several seasons. We show that, once calibrated on the dataset, the model is able to reproduce the main stylized facts observed in real data, including the results of single tournaments and the development of players’ careers in the ATP community. The strength of our approach lies in its simplicity: it requires only one free parameter a to determine the importance of talent in scoring every single point: a=1 indicates the ideal scenario in which only talent matters, whereas a=0 represents the opposite limit case, in which the outcome of each point is entirely due to chance. We find the best agreement between real data and simulation results when talent weights substantially less than luck, i.e. when a is between 0.20 and 0.30. A further comparison between data and simulations, based on the analysis of the direct networks of all the matches, confirms the previous finding. A posteriori, we notice that this surprisingly important role of chance in tennis tournaments is not an exception. On the contrary, it can be explained by a more general paradoxical effect that characterizes highly competitive environments, particularly in individual sports. In other words, when the difference in talent between top players is minimal, chance becomes determinant. Our findings highlight the impact of the – too often underestimated – external factors on athletes’ performance in individual tournaments and their careers. Our results point out the unfairness of the “winner-takes-all” reward system that enhances the disparities between the first classified players and the others in major competitions. © 2023 Elsevier Ltd",10.1016/j.chaos.2023.114088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173537901&doi=10.1016%2fj.chaos.2023.114088&partnerID=40&md5=cbc47250cf1f5a10cf958dc9f1a8e97a,SCOPUS,No,"Este estudio analiza el impacto del talento y la suerte en el éxito deportivo usando el tenis como caso de estudio, mostrando que en entornos altamente competitivos la suerte pesa más de lo esperado, cuestionando la equidad del sistema de recompensas. No relacionado con las apuestas.",,,,,,,,,,,,,,,,,,,
,Match statistics significant to win the initial and intense rounds of a tennis tournament,"This paper analyses the initial and intense rounds of the 2020 Australian Open Men’s Singles matches on 14 match statistics. The findings show that the statistics which are important to winning in the initial rounds are not the same as those for winning in the intense rounds. In the initial rounds, the match winner performed better than the loser on receiving points won, second serve to win, first serve to win, breakpoints won, net points won, winners, total points won, unforced errors, aces, double faults, fastest serve speed, and average first-serve speed. However, to win the intense rounds, the winner performed better than the loser on first serve to win, receiving points won and net points won. The findings help the player and the coach to develop skills and techniques to devise a player strategy during the initial rounds and the intense rounds to win the tournament. © 2020, University School of Physical Education. All rights reserved.",10.23829/TSS.2020.27.4-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099416162&doi=10.23829%2fTSS.2020.27.4-6&partnerID=40&md5=95741c5d1b52991946d6ede07e370fdc,SCOPUS,Si,,Mann–Whitney U test,Analisis Estadistico,Tenis,liga australiana,masculino,No,-----------,127 partidos,"aces, winners, double faults, unforced errors, puntos ganados en el primer y segundo servicio, breakpoints ganados, velocidad del servicio",público,https://ausopen.com/draws,Analizar qué estadísticas son más relevantes para ganar partidos en rondas iniciales e intensas de un torneo de tenis.,Determinar Parametro Mas Relevante,"En las rondas iniciales, 12 estadísticas son significativas para ganar, mientras que en rondas intensas solo 3 (primer servicio ganado, puntos ganados en la recepción y puntos ganados en la red)",Australian Open,2020/21,"Chinar Damani, Bharat Damani, Amritashish Bagchi",,Se enfoca solo en el Australian Open 2020
,Predicting Tennis Match Outcomes,"Tennis is one of the most popular and most followed game on earth, especially singles tennis. As per the scoring rules of the game and the players style of playing and the location, there can be a wide approach on predicting the outcome of the game. In this research one such predictive approach has been explored. Using various statistical tools like multi-output regression and standard machine learning algorithms like random forest, this research tries to analyse and in turn predict the outcomes of a singles tennis match. This research also aims to analyse and study the various techniques and parameters used to determine the outcome of a tennis match and evaluate the results thus obtained after the application of the proposed methodology. Towards the end the research also aims to analyse and understand the application of this methodology and stress on a few more areas where this methodology would be useful.",10.1109/INCOFT55651.2022.10094479,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10094479,IEEE,Si,,Accuracy,"Logistic Regression, Random Forest, K-Means",Tenis,APT Tour,masculino,No,"Se realizó limpieza de datos, selección de características y clasificación de jugadores en distintos perfiles mediante clustering",45000 partidos,"aces, porcentaje de primeros servicios, porcentaje de puntos ganados en devolución, breakpoints, superficie de la cancha, rendimiento histórico, edad de los jugadores, lesiones, ranking ATP",público,Github pero no da link,Predecir el resultado de partidos de tenis individuales utilizando técnicas de machine learning.,Victoria o Derrota,"Se encontró que el modelo Random Forest proporcionó los resultados más consistentes y precisos, con una precisión superior al 80%.",GitHub,"2000/01, 2016/17",Shrihari Jhawar,,No se menciona si los datos están balanceados o si hay sesgos.
,Hidden Power of Trading Activity: The FLB in Tennis Betting Exchanges,"This article examines the impact of trading activity on the favorite–long shot bias (FLB) in tennis betting exchanges, using direct measures such as betting volume, average bet, and standard deviation of the odds. According to predictions based on disagreement models, odds mispricing is positively associated with trading volume but negatively associated with the presence of institutional bettors. The FLB is also positively related to the degree of uncertainty in the market. The existence of two simultaneous markets (a “main” and an “alternative” market) in this specific sports-betting environment has enabled us to observe that the relative amount of attention given to the favorite versus that given to the long shot is positively associated with the FLB. Finally, information is more rapidly incorporated into the odds in the market that receives more attention from bettors, an effect that is intensified by the arbitrage and hedging that occurs between the two markets. © The Author(s) 2017.",10.1177/1527002517731875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059587901&doi=10.1177%2f1527002517731875&partnerID=40&md5=42beda16a12751b82a0fe6fa99298dd2,SCOPUS,Si,,Standard Desviation,Analisis Estadistico,Tenis,APT Tour,masculino,No,Se excluyeron partidos con baja liquidez,24683 partidos,"volumen de apuestas, promedio de apuesta, número de cuotas diferentes, desviación estándar de cuotas, probabilidad implícita y tipos de eventos",privado,-------------,Analizar la influencia de la actividad de trading en la fijación de precios en mercados de apuestas de tenis,Sesgo en la fijación,"Se encontró que el FLB es mayor en eventos con alto volumen de apuestas y atención en el favorito, mientras que disminuye en eventos con mayor proporción de apostadores institucionales",Betfair,"2003/04, 2012/13","Isabel Abínzano, Luis Muga, Rafael Santamaría",,"Los datos provienen solo de Betfair, lo que limita la generalización a otros mercados de apuestas."
